,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
3140,Southbridge,MA,23903.0,16577.0,3.0,2.0,16026.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
3141,Southfield,MI,6624.0,5543.333333333333,0.6666666666666666,0.3333333333333333,5778.666666666667,0.0,0.0,-0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.0
3142,Southlake,TX,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,-1.0
3143,Southport,NC,0.0,14852.0,4.0,2.0,14061.0,1.0,-1.0,1.0,2.0,-1.0,2.0,1.0,2.0
3144,Sparks,NV,23722.0,17414.0,3.0,2.0,17013.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0
3145,Sparta,IL,0.0,16466.0,3.0,2.0,16827.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0,2.0,2.0
3146,Sparta,NC,0.0,0.0,3.0,2.0,15927.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,2.0,-1.0
3147,Sparta,TN,0.0,16085.0,3.0,2.0,18086.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0
3148,Sparta,WI,0.0,0.0,3.0,2.0,16252.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,-1.0
3149,Spartanburg,SC,22963.0,16409.5,2.5,2.0,17547.5,0.5,0.5,1.5,1.5,1.0,0.5,2.0,1.5
3150,Spearfish,SD,0.0,16113.0,4.0,2.0,17880.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
3151,Spearman,TX,0.0,0.0,-1.0,2.0,23075.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,3.0,-1.0
3152,Spencer,IA,0.0,15611.0,3.0,2.0,15272.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
3153,Spencer,WV,0.0,0.0,3.0,2.0,18170.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,-1.0
