Province_State,Quarter,value
Mississippi,Q22020,2235655
Mississippi,Q22021,29549373
Mississippi,Q32020,8344059
Mississippi,Q32021,26101596
Mississippi,Q42020,9803389
Missouri,Q12020,163084
Missouri,Q12021,66130741
Missouri,Q22020,1906274
Missouri,Q22021,57250455
Missouri,Q32020,10407899
Missouri,Q32021,46523682
Missouri,Q42020,19721948
Montana,Q12020,12590
Montana,Q12021,11839661
Montana,Q22020,104903
Montana,Q22021,10372797
Montana,Q32020,1152454
Montana,Q32021,7896376
Montana,Q42020,3728329
Nebraska,Q12020,44535
Nebraska,Q12021,23921071
Nebraska,Q22020,1503614
Nebraska,Q22021,20608881
Nebraska,Q32020,3887906
Nebraska,Q32021,14954361
Nebraska,Q42020,7681692
Nevada,Q12020,103895
Nevada,Q12021,34579224
Nevada,Q22020,1589887
Nevada,Q22021,30433419
Nevada,Q32020,6881564
Nevada,Q32021,23795763
Nevada,Q42020,9667579
New Hampshire,Q12020,38087
New Hampshire,Q12021,8920141
New Hampshire,Q22020,459651
New Hampshire,Q22021,9092384
New Hampshire,Q32020,745756
New Hampshire,Q32021,6618541
New Hampshire,Q42020,1502064
New Jersey,Q12020,2279146
New Jersey,Q12021,95250493
New Jersey,Q22020,15024450
New Jersey,Q22021,93821264
New Jersey,Q32020,19010854
New Jersey,Q32021,66724752
New Jersey,Q42020,23219660
New Mexico,Q12020,50426
New Mexico,Q12021,21728783
New Mexico,Q22020,980253
New Mexico,Q22021,18785121
New Mexico,Q32020,2669237
New Mexico,Q32021,14133250
New Mexico,Q42020,5884353
New York,Q12020,6956460
New York,Q12021,194584788
New York,Q22020,35022898
New York,Q22021,193787970
New York,Q32020,41782569
New York,Q32021,139180976
New York,Q42020,42512524
North Carolina,Q12020,189840
North Carolina,Q12021,99142964
North Carolina,Q22020,5010771
North Carolina,Q22021,92712487
North Carolina,Q32020,17940288
North Carolina,Q32021,74184415
North Carolina,Q42020,23510026
North Dakota,Q12020,15542
North Dakota,Q12021,12026098
North Dakota,Q22020,300471
North Dakota,Q22021,10133797
North Dakota,Q32020,1738879
North Dakota,Q32021,7264011
North Dakota,Q42020,4623333
Northern Mariana Islands,Q12020,347
Northern Mariana Islands,Q12021,17333
Northern Mariana Islands,Q22020,2523
Northern Mariana Islands,Q22021,16670
Northern Mariana Islands,Q32020,5976
Northern Mariana Islands,Q32021,14407
Northern Mariana Islands,Q42020,6573
Ohio,Q12020,299266
Ohio,Q12021,113624181
Ohio,Q22020,4331572
Ohio,Q22021,101663010
Ohio,Q32020,13125054
Ohio,Q32021,75833030
Ohio,Q42020,27129155
Oklahoma,Q12020,70827
Oklahoma,Q12021,49075077
Oklahoma,Q22020,1176527
Oklahoma,Q22021,42086060
Oklahoma,Q32020,6935012
Oklahoma,Q32021,33556810
Oklahoma,Q42020,12327827
Oregon,Q12020,54700
Oregon,Q12021,18435191
Oregon,Q22020,712060
Oregon,Q22021,18794150
Oregon,Q32020,2820461
Oregon,Q32021,16739367
Oregon,Q42020,4749811
Pennsylvania,Q12020,847243
Pennsylvania,Q12021,111975586
Pennsylvania,Q22020,7719295
Pennsylvania,Q22021,111084854
Pennsylvania,Q32020,14286084
Pennsylvania,Q32021,79988143
Pennsylvania,Q42020,24473051
Puerto Rico,Q12020,26566
Puerto Rico,Q12021,12203574
Puerto Rico,Q22020,187036
Puerto Rico,Q22021,12820531
Puerto Rico,Q32020,1802216
Puerto Rico,Q32021,10255610
Puerto Rico,Q42020,3290694
Rhode Island,Q12020,120972
Rhode Island,Q12021,14985884
Rhode Island,Q22020,1412456
Rhode Island,Q22021,13978844
Rhode Island,Q32020,2205168
Rhode Island,Q32021,9935349
Rhode Island,Q42020,3617224
South Carolina,Q12020,119196
South Carolina,Q12021,58928602
South Carolina,Q22020,2883511
South Carolina,Q22021,54773974
South Carolina,Q32020,12323231
South Carolina,Q32021,44893785
South Carolina,Q42020,13993686
South Dakota,Q12020,36932
South Dakota,Q12021,13514519
South Dakota,Q22020,536973
South Dakota,Q22021,11431815
South Dakota,Q32020,1863475
South Dakota,Q32021,8119521
South Dakota,Q42020,4782010
Tennessee,Q12020,204421
Tennessee,Q12021,91496843
Tennessee,Q22020,3754292
Tennessee,Q22021,79671608
Tennessee,Q32020,16420952
Tennessee,Q32021,64374687
Tennessee,Q42020,24329280
Texas,Q12020,512605
Texas,Q12021,306479263
Texas,Q22020,13930831
Texas,Q22021,274603643
Texas,Q32020,64789543
Texas,Q32021,220820522
Texas,Q42020,81450263
Utah,Q12020,87315
Utah,Q12021,43445585
Utah,Q22020,1667395
Utah,Q22021,37889889
Utah,Q32020,6142470
Utah,Q32021,28485857
Utah,Q42020,12090270
Vermont,Q12020,23004
Vermont,Q12021,1864886
Vermont,Q22020,103584
Vermont,Q22021,2228756
Vermont,Q32020,157733
Vermont,Q32021,1744868
Vermont,Q42020,276730
Virgin Islands,Q12020,1690
Virgin Islands,Q12021,317667
Virgin Islands,Q22020,11802
Virgin Islands,Q22021,342954
Virgin Islands,Q32020,102046
Virgin Islands,Q32021,355358
Virgin Islands,Q42020,100199
Virginia,Q12020,230759
